id	comment	internal_comment	country_code	longitude	latitude	name_de	name_fr	synonymous
10024	Flughafen von Rjasan.			39.571667	54.642778	Rjasan-Djagilewo		Djagilevo, Rjazan'-Djagilevo, Riazan-Diaguilevo, Ryazan-Dyagilevo, Дягилево (авиабаза)
10025				117.183333	39.133333			Tsien Tsin
10027	Ville en Mozambique			39.266666	-15.116667			Nampula
10028				8.616878	47.002354			Ingenbohl
10029				83.181786	23.135492			Ambikapur
10030				78.134834	8.764166			Thoothukudi, Tuttukkudi, Tuticorin
10032				79.13	12.98			Katpadi
10033								Vedhachi
10034				87	25.25			Bhabalpur
10035				73.3513	23.6709			Dodissara
10036				79.933334	23.166668			Jabalpur
10037				9.127048	48.827007			Hebich
10038				74.85596	12.914142			Mangalore
10039								Sidhanabavi
10040				34.904552	36.927963			Tarsus
10041	"Vorort von Brazzaville.
Vgl. dodis.ch/32932"			15.23996	-4.246043			Kinsoundi
10042				39.199167	-6.165833			Sansibar-Stadt, Zanzibar (ville), Zanzibar (città), Zanzibar City, Sansibar City
10043				68.81088	34.963097			Parwan
10044				8.622632	47.33203			Zumikon
10045				-149.42604	-17.650919			Tahiti
10046				-35.030838	-8.002266			Rio Capibaribe
10047				2.616667	9.35			Parakou
10048				43.72383	-21.593115			Mangoky, Mangoky River
10049				8.85511	47.0608			Ochsenboden
10050	Nigeria			8.797693	6.654837			Ogoja
10051	Nigeria			8.536111	7.730556			Makurdi
10052				7.415151	46.92577			Köniz
10053				8.7	46.25			Valle Maggia, Maggiatal, Vallée de la Maggia, Maiental
10054	Stadt in Uzbekistan			66.974976	39.62701			Samarqand, Samarkand, Samarcande, Samarcanda
10055				71.27609	38.861034			Tadschikistan, Tajikistan, Tadjikistan, Tagikistan, Tadjikie
10056				74.7661	41.20438			Kirgisistan, Kirgisien, Kirgistan, Kirghizistan, Kyrgyzstan, Kirghizistan, Kirghizie
10057				59.55628	38.96972			Turkmenistan, Turkmenien, Turkménistan, Turkménie
10058	Stadt in Usbekistan, im Bezirk Taschkent.			69.6	40.85			Olmaliq, Almalyk, Almalik, Amalik
10059				64.455574	39.76808			Buchara, Buxoro, Bukhara, Boukhara, Buhara
10060	cf. dodis.ch/34262			73.667206	38.414246			Pamir (Gebirge), Pamir
10061				72.01667	38.943333			Pik Ismoil Somoni, Pik Stalin, Pik Kommunismus, Pic Ismail Samani, Pic Staline, Pic du Communisme
10062	"cf. dodis.ch/34262

glacier en Tadjikistan"			72.283	38.767	Fedtschenko-Gletscher	Tedtchenko (Glacier)	Федченко (ледник), Федченко (Пиряхи)
10063				66.898889	36.758056			Bactriane, Baktrien
10064				69.09702	39.515533			Sogdien, Sogdiane, Sogdiana
10065	"cf. dodis.ch/34262

Fluss"			64.1267	38.757027			Amudarja, Amou Daria, Amou-Daria, Amou Darya
10066	"cf. dodis.ch/34262

Ville en Inde"			77.673676	27.492413			Mathura
10067				68.78	38.536667			Duschanbe, Dushanbe, Douchanbé, Douchanbe, Douschambé, Stalinabad
10068	Reich in Zentralasien und Nordindien, das bei seiner größten Ausdehnung ¿ etwa zwischen 100 und 250 n. Chr. (genaue Datierung strittig) ¿ vom Gebiet des heutigen Staates Tadschikistan zum Kaspischen Meer und vom Gebiet des heutigen Afghanistan bis hinunter ins Industal und das Ganges-Yamuna-Zweistromland reichte. cf. dodis.ch/34262			85.76538	24.333223			Empire Kouchan, Kuschana, Kushan Empire, Impero Kusana
10069	Gemeinde im Kanton Waadt			6.64612	46.808898			Grandson, Gransee
10070				9.821035	48.766727			Waldstetten
10071				28.179132	59.37968			Narwa, Narva
10072	"ville sverige

treaty of Nystadt 1721"			21.416668	60.8			Nystadt
10073				93.775833	66.792222			Russische Sozialistische Föderative Sowjetrepublik, RSFSR, République socialiste fédérative soviétique de Russie, Repubblica Socialista Federativa Sovietica Russa, Russland, Russie, Russia
10074				28.757156	60.71395			Wyborg, Vyborg
10075	ville en Russie			40.41787	56.144596			Vladimir, Wladimir
10076				26.725016	58.380684			Tartu, Dorpat
10077				24.496576	58.385807			Pärnu, Piarnu, Pyarnu
10078	Ville en Estonie			25.963633	59.26364			Tapa
10080				21.006106	55.303692			Nida, Nidden
10081	cf. dodis.ch/34264			24.913809	54.786095			Paneriai
10082	"cf. dodis.ch/34265

Fluss"			24	57			Düna, Daugava
10083	"cf. dodis.ch/34265

Livland ist die Bezeichnung für eine historische Landschaft im Baltikum. Der Name leitet sich ab vom finno-ugrischen Volksstamm der Liven."			24.576199	58.215409			Livland, Livonie
10084	Près de Marseille.			5.027147	43.387115			Lavéra, Lavera
10085				11.42504	48.763017			Ingolstadt
10086				7.206009	53.3594			Emden
10087				2.376776	51.034367			Dunkerque, Dünkirchen, Duinkerke, Dunkirk
10088				3.717424	51.05434			Gent, Gand
10089				9.190833	37.095833			Sedjenane
10090				-6.770814	34.033695			Salé
10091				-78.5019	-0.306949			Conocoto
10092				8.660271	49.544964			Weinheim
10093				8.831981	47.67685			Hemishofen
10094				9.024444	47.695			Untersee (Bodensee)
10095				8.870445	45.984024			Pura (Tessin)
10096				7.63856	47.53378			Nordwestschweiz
10097				15.825211	50.21036			Königgrätz
10098				9.80821	47.15991			Bludenz
10099				9.917222	46.97028			Gargellen
10100				9.343234	47.249386			Säntis
10101				9	46			Gandria
10102				4.212834	35.207703			Bou Saâda, Bou Saada, Boussada, Bou-Saada
10103				80	42			Tian Shan, Tien Shan, Monts Tian
10104				74.61222	42.87472			Bichkek, Frounzé, Bischkek, Frunze, Frunse, Biskek
10105				58.36667	37.933334			Achgabat, Achkhabad, Asgabat, Ashgabat
10106				60.36667	41.38333			Xiva, Khiva, Chiwa
10107				69.63333	40.283333			Khodjent, Chudschand, Leninabad, Leninobod
10108				71.78639	40.38639			Ferghana, Farg'ona, Fergana
10109				60	45			Mer d'Aral, Aralsee
10110	Fluss in Kazakhstan			68.7155	40.38638			Syr Darya, Sir Daria
10111				76.895836	43.2775			Almaty, Alma-Ata, Verny
10112								Karachaniden, Qarakhanides, Empire des Karakhanides
10113	Kirghiztan			75.250456	42.379739			Balassagoune
10114								Tokmak
10115				4.457366	50.850002			Byzanz, Byzantin
10116				77.28649	42.388264			Yssykköl, Issyk-Kul, Issyk Kul, Yssyk Koul
10117	"tunnel

cf. dodis.ch/34266"			-6.163967	41.672062			Sasamir
10118				68.83111	37.710835			Vakhsh (Rivière), Wachsch (Fluss)
10119				63.45	40.13361			Gazli
10120				-3.598557	37.177338			Granada, Grenade
10121				52.966667	40.016666			Türkmenbaşy, Krasnowodsk
10122				44.783333	41.716667			Tbilisi, Tiflis, Tbilissi, თბილისი
10123				60	40.5			Karakum, Désert du Karakoum
10124	Gebirge			57.3725	38.066944			Kopet-Dag
10125				62.450417	36.948162			Mary, Mary (Turkmenistan), Mary (Stadt), Alexandrie-Margiana
10126				48.031738	46.348774			Astrakhan, Astrachan, Astrachan', Астрахань, Әстерхан
10127				-9.2533	7.566			Yomoud
10128								Tékine, Tekine
10129								Pendi
10130				-75.111423	39.700096			Glassboro
10131				3.06889	36.74118			El Madania, Clos-Salembier, Clos Salembier
10133				-1.513682	53.122322			Derbyshire
10134				-12.885834	24.215527			Westsahara, Sahara occidental, Sahara Occidentale, Spanisch-Sahara, Sahara espagnol, Sahara spagnolo
10135				166.9315	-0.522778			Nauru
10136				-128.32465	-24.372974			Pitcairn
10137				8.61097	46.15471			Camedo
10138				10.169605	46.216167			Tirano
10139				8.948	45.954			Melide
10140				8.92211	46.04463			Sottoceneri
10141				8.9496	46.1514			Cadenazzo
10142				-2.950599	53.258854			Capenhurst
10143				13.548132	50.63825			Klin
10144				14.392068	50.088615			Hradschin, Hradcany, Prager Burg, Prazsky hrad, Burghügel, Prague Castle District
10145	Uganda			34.7333	-15.9			Murchison Falls
10146	"Uganda
cf. dodis.ch/34050"			30.658333	-0.613333			Mbarara
10147	Vgl. dodis.ch/33632			8.44669	47.29779			Hedingen
10148	Vgl. dodis.ch/33632			8.565918	47.433678			Glattburg
10149	Vgl. dodis.ch/33632			8.771771	47.251328			Hombrechtikon
10150	Vgl. dodis.ch/33632			9.45082	47.02573			Vilters
10151	Vgl. dodis.ch/33632			7.237289	47.124413			Nidau
10152	Vgl. dodis.ch/33632			7.545425	47.55825			Neuallschwil
10153	Vgl. dodis.ch/33632			8.766667	47.2			Pfäffikon (SZ)
10154	Vgl. dodis.ch/33632			7.424097	47.202736			Bettlach
10155				178.67992	-7.478442			Tuvalu
10156				-157.3626	1.870919			Kiribati
10157				158.21507	6.887351	Föderierten Staaten von Mikronesien (1990-)	États fédérés de Micronésie (1990-)	Federated States of Micronesia (1990-), Micronasia, Stati Federati di Micronesia (1990-)
10158				9.470913	46.84541			Felsberg GR, Favugn
10159				9.281796	47.316944			Urnäsch (AR)
10160	"Stadt in Benin

Vgl. dodis.ch/34052"			2.083333	6.366667			Ouidah
10161	"Stadt in Benin

Vgl. dodis.ch/34052"							Kome
10162	"Stadt in Benin

Vgl. dodis.ch/34052"			1.997941	7.185477			Abomey
10163	"Stadt in Benin

Vgl. dodis.ch/34052"			2.066667	7.2			Bohicou / Bohicon
10164	Zweitgrößte der Kapverdischen Inseln im Atlantik.			-25.141483	17.091236			Santo Antão, San Antão
10165	Hauptstadt des westafrikanischen Staates Guinea-Bissau.			-15.617794	11.881656			Bissau
10166	Kap Verde			-22.904167	16.6			Santa Maria
10167				35.642353	-10.64627			Songea
10168	Region im Südwesten Tansanias.			36.263084	-10.687872			Ruvuma
10169				35.462776	-10.636944			Peramiho
10170				37.34038	-3.334883			Moshi
10171				22.3667	5.2833			Ndanda
10172				40.182777	-10.273611			Mtwara
10173				8.982832	47.22567			Uznach
10174				36.692579	-8.716201			Ulanga
10175				36.719226	-8.773008			Kwiro
10176				36.71692	-8.682556			Mahenge
10177				-5.849618	43.361999			Oviedo
10178	"Port en Espagne

cf. dodis.ch/33579"			-5.680828	43.554157			El Musel (Gijón)
10180				35.86667	-1.083333			Narok
10181				36.783333	-1.85			Kaijado
10182				7.524108	46.956814			Stettlen (BE)
10183				55.3	25.266667	Dubai	Dubaï	Dubai, Dubai
10184				7.696333	47.301792			Klus (SO)
10185	A ne pas confondre avec: Menton [Alpes maritimes]			6.201663	45.872331			Menthon-Saint-Bernard (Haute-Savoie, France), Menthon
10186	"Auch Kitwe Nkana oder Nkana-Kitwe, Stadt im Norden Sambias 

Vgl. dodis.ch/34107"			28.217575	-12.823195			Kitwe, Nkana-Kitwe
10187	"Kaolack, Hauptstadt der Region Kaolak in Senegal

Vgl. dodis.ch/34105"			-16.075775	14.165208			Kaolack, Senegal/Kaolack, Sénégal/Kaolack, Senegal/Kaolak
