id	comment	country_code	longitude	latitude	name_de	name_fr	synonymous
206			-74.29733	4.570868	Kolumbien	Colombie	Colombia
207			-43.2833	-22.8833			Rio de Janeiro
208			-58.38159	-34.60372			Buenos Aires
209			-124.50852	-8.783195	Pazifischer Ozean	Océan Pacifique	Pazifik, Pacifico, Pacifique (Océan), Stiller Ozean
210			-55.491478	-8.783195			America del Sud, Südamerika, Amérique du Sud
211			-70.642	-33.46912	Santiago de Chile	Santiago de Chili	Santiago del Cile
212			-75.01515	-9.189967			Peru, Perù, Pérou
213			-77.05	-12.05			Lima
214			-19.020836	64.96305	Island	Islande	Islanda
215			12.568337	55.676098	Kopenhagen	Copenhague	Copenaghen, København
216	1958-1961 Zusammenschluss von Syrien, dodis.ch/G485, und Ägypten zur Vereinigten Arabischen Republik (VAR), dodis.ch/G6601. Bis 1972 Weiterverwendung des Namens VAR durch Ägypten.		30	27	Ägypten	Egypte	Egitto, Aegypten, VAR (1961-1972), RAU (1961-1972), UAR (1961-1972), République Arabe Unie (1961-1972), Vereinigte Arabische Republik (1961-1972), Repubblica Araba Unita (1961-1972)
217			45.079163	23.885942	Saudiarabien	Arabie Séoudite	Arabia Saudita, Arabie Saoudite
218			174.88597	-40.90056	Neuseeland	Nouvelle Zélande	Nuova Zelanda, Nouvelle-Zélande, New Zealand, Aotearoa
219			40.489674	9.145	Äthiopien	Ethiopie	Etiopia, Aethiopien
220			-87.6298	41.878113			Chicago
221			-90.07153	29.951065			La Nouvelle Orléans, Nuova Orleans, New Orleans, La Nouvelle-Orléans, Nouvelle-Orléans
222			-99.90181	31.9686			Texas
223			117.20098	39.08416			Tianjin, Tiensin, Tien-Tsin, Tientsin
225			6.051797	46.323204			Pays de Gex
230			-106.34677	56.130367	Kanada		Canada
231			-97.1375	49.899754			Winnipeg
233			26.10389	44.4325	Bukarest	Bucarest	Bucuresti, Bucharest, Bucarest
234			24.96676	45.94316			Rumänien, Romania, Roumanie
236			3.042048	36.752888			Algeri, Algier, Alger
238			16.37382	48.208176			Wien, Vienna, Vienne
240			8.484869	47.124428			Zuger See, Lac de Zoug, Lago di Zugo, Zugo (Lago di), Zoug (Lac)
242			6.51698	46.46725	Genfersee	Lac Léman	Lac de Genève, Lago Lemano, Lago di Ginevra, Lemansee, Léman (Lac)
243			21.696346	36.913074			Pyla
244			6.234857	46.383194			Nyon
245			6.931932	46.99298			Neuenburg, Neuchâtel, Neuchatel
247			8.293023	47.59079			Manciuria, Mandschurei, Mandchourie
248			4.9167	52.35			Amsterdam
253			9.5333	47.1667			Liechtenstein, FL
259			-94.6859	46.729553			Minnesota
260							Commonwealth, British Commonwealth of Nations, Englische Dominions, Dominions britannici, Dominions britanniques
262			102.25616	2.205685			Malacca
263			116.79678	5.420404			British Borneo, Borneo britannico, Britisch Borneo, Bornéo britannique
264			113.0012	2.557429			Sarawak, Charawak
265	"Östlicher Teil der Insel Neuguinea.
Vgl. auch West-Neuguinea, dodis.ch/G5002 und Neuguinea (Insel), dodis.ch/G9309."		147	-6			Papouasie-Nouvelle-Guinée (1975-), Papua Nuova Guinea (1975-), Papua New Guinea (1975-), Papua-Neuguinea (1975-), Territorium Papua und Neuguinea (1949-1975), Territoire de Papouasie-Nouvelle-Guinée (1949-1975), Territorio di Papua Nuova Guinea (1949-1975), Papau/Neu Guinea
266							Straits settlements (Penang and Malakka)
268			125.10141	-9.095135			Timor
270			118.796875	32.060253			Nanjing, Nanking, Nanchino, Nankin
272			114.1724	22.296494			Tschunking, Chungking, Chongqing, Tchungking, Tschounking
274			121.4737	31.230415			Schanghai, Shanghai, Shànghai, Chang-Hai
275	Stadt in China, nicht zu verwechseln mit der Provinz Kanton /Guangdong dodis.ch/G4510.		113.264435	23.129164			Kanton, Canton (Chine), Guangzhou
281			135	63.310925	Ferner Osten	Extrême-Orient	Estremo Oriente, Far East, Fernost
282			109.35	36.6667			Yan'an, Yenan
283			20.490192	42.7807			Ostdeutschland, Sowjetische Besatzungszone, SBZ, Allemagne/zone d'occupation soviétique, Germania orientale, Zona d'occupazione sovietica, DDR, RDA, RDT, Allemagne/zone soviétique, Deutschland/Sowjetische Besatzungszone, Deutschland/Sowjetische Zone, Repubblica democratica tedesca, Ostzone, Allemagne orientale, Deutsche Demokratische Republik, Allemagne de l'Est, République démocratique allemande
284			25.48583	42.733883	Bulgarien	Bulgarie	Bulgaria
285			21.745275	41.608635			Mazedonien, Macedonia, Macédoine
290			99.196655	61.01371			Sibirien, Siberia, Sibérie
291			18.04801	34.553127			Mediterraneo, Mittelmeer, Mer Méditerranée, Méditerranée
292			51.683426	26.750534	Persischer Golf	Golfe Persique	Golfo persico, Golfo arabico
293			103.84666	46.862495	Äussere Mongolei	Mongolie extérieure	Mongolia esterna, Mongolei, Mongolie, Mongolia, République populaire de Mongolie (1921-1990)
294			87.6277	43.793026			Xinjiang, Turkestan chinois, Sinkiang
295			125.32355	43.817074			Changchun
296	Port-Arthur est l'ancien nom de la ville de Lüshunkou, péninsule de Liaodong (nord-est de la Chine), sous administration russe. Sous administration japonaise, elle prendra le nom de Ryojun.		121.25	38.7667			Lüshunkou, Port-Arthur (1894-1905), Ryojun (1905-1945)
297			121.614685	38.914			Dalian, Dairen
298			34.1663	44.495205			Jalta, Yalta
299			119.6	39.9333			Qinhuandao, Chingwangtao
300			117.08	-32.6			Karping
301			118.18019	39.630867			Tangchan
302	Ville de la province du Shandong (Nord-est de la Chine).		120.38264	36.06708			Qingdao, Tsingtao, Tchingtao
305			8.78898	46.167957			Locarno
311			31.669155	52.152096	Osteuropa	Europe de l'Est	Europa orientale, Europa dell'Est, l'Est européen
312	Rivière franco-allemande passant par l'Alsace, la Lorraine (FR), le Saarland et le Rheinland-Pfalz (ALL). Affluent de la Moselle.		6.57	49.701389			Saar, Sarre, La Sarre
314	"1. Rivière allemande affluente du Rhin.
2. Région industrielle et urbanistique de l'ouest allemand."		6.723056	51.450833			Ruhr
319			-102.55279	23.6345	Mexiko	Mexique	Mexico, Messico
324			35.21371	31.768318			Jerusalem, Gerusalemme, Jérusalem
330			6.910276	46.436005			Montreux
334							America centrale, Zentralamerika, Mittelamerika, Amérique centrale
335			35.233154	31.952162	Palästina	Palestine	Palestina
337			7.284474	46.470684			Gstaad
339			9.885796	47.789715			Kisslegg
340			11.323544	50.979492			Weimar
